Lon,Lat,Time
-97.65785718662204,31.04494996157486,2024-04-05T05:21:49Z
-97.65781065989381,31.04508610895955,2024-04-05T05:21:50Z
-97.65776264517746,31.04521946890684,2024-04-05T05:21:51Z
-97.65771354649807,31.045356544085223,2024-04-05T05:21:52Z
-97.65766238203733,31.045498978086485,2024-04-05T05:21:53Z
-97.65761005657828,31.045646968646928,2024-04-05T05:21:54Z
-97.65755717798515,31.04580043266143,2024-04-05T05:21:55Z
-97.65750124602194,31.04596090231902,2024-04-05T05:21:56Z
-97.65744331743898,31.04612505791456,2024-04-05T05:21:57Z
-97.65738365604038,31.046292545117364,2024-04-05T05:21:58Z
-97.65732239760199,31.046463738502908,2024-04-05T05:21:59Z
-97.65725955561923,31.046636199016397,2024-04-05T05:22:00Z
-97.65719477858586,31.046811730564276,2024-04-05T05:22:01Z
-97.65713272844741,31.04698999159734,2024-04-05T05:22:02Z
-97.65706988478648,31.047167620782517,2024-04-05T05:22:03Z
-97.65700592985588,31.047344943474688,2024-04-05T05:22:04Z
-97.65694233455154,31.047521894724042,2024-04-05T05:22:05Z
-97.65687900723943,31.047699825978704,2024-04-05T05:22:06Z
-97.65681787835025,31.04787854414922,2024-04-05T05:22:07Z
-97.65675674961801,31.048057044760522,2024-04-05T05:22:08Z
-97.65669552348325,31.048234809471264,2024-04-05T05:22:09Z
-97.65663380428578,31.048412603623703,2024-04-05T05:22:10Z
-97.65657067334756,31.04859049373179,2024-04-05T05:22:11Z
-97.65650731659677,31.04876886513986,2024-04-05T05:22:12Z
-97.65644322952176,31.048947043028186,2024-04-05T05:22:13Z
-97.65637997031746,31.04912470537245,2024-04-05T05:22:14Z
-97.6563171103371,31.049301763328433,2024-04-05T05:22:15Z
-97.65625488181914,31.049478483252415,2024-04-05T05:22:16Z
-97.65619247233042,31.049656135467778,2024-04-05T05:22:17Z
-97.65612954955732,31.049835013215876,2024-04-05T05:22:18Z
-97.65606413486346,31.050011691513937,2024-04-05T05:22:19Z
-97.65600043919927,31.050186496834556,2024-04-05T05:22:20Z
-97.65593763536552,31.050361973223747,2024-04-05T05:22:21Z
-97.65587485417876,31.050539444637558,2024-04-05T05:22:22Z
